S.No.,Company,Ticker,Country
1,Aegean Airlines S.A.,AGGNY,Greece
2,Air China,AIRYY,China
3,Air France-KLM,AFLYY,France
4,Air New Zealand,ZELDY,New Zealand
5,ANA Holdings,ALNPY,Japan
6,Cathay Pacific Airways,CPCAY,Hong Kong
7,Cebu Air,CEBUY,Philippines
8,El Al Israel Airlines,ELALY,Israel
9,International Consolidated Airlines,ICAGY,Spain
10,Japan Airlines,JAPSY,Japan
11,LATAM Airlines Group SA,LTMAY,Chile
12,Lufthansa,DLAKY,Germany
13,Qantas Airways,QABSY,Australia
14,Singapore Airlines,SINGY,Singapore
15,Tui,TUIFY,Germany
16,Webjet,WEJTY,Australia
