Year,Quarter,Price
2006,1,63.4804836703885
2006,2,70.6742059011308
2006,3,70.6144443996369
2006,4,60.25903218792331
2007,1,58.272419406521706
2007,2,64.98642848786854
2007,3,75.05499994187127
2007,4,90.38710904121399
2008,1,97.69991802778401
2008,2,123.49203157424927
2008,3,118.48757827281952
2008,4,59.64648416638374
2009,1,43.29778690025454
2009,2,59.60126994905018
2009,3,68.22179716825485
2009,4,76.05960965156555
2010,1,78.85827830580415
2010,2,78.128174554734
2010,3,76.1614841222763
2010,4,85.15804696083069
2011,1,94.54443531651651
2011,2,102.43841280256
2011,3,89.65382790565491
2011,4,93.91404748341394
2012,1,103.06741880601452
2012,2,93.49031781393384
2012,3,92.14301614912729
2012,4,88.30782262740597
2013,1,94.31783326466878
2013,2,94.14312469959259
2013,3,105.76554697751999
2013,4,97.61328125
2014,1,98.61065586277697
2014,2,102.96119035993304
2014,3,97.29062449932098
2014,4,73.45890602469444
2015,1,48.61819648742676
2015,2,57.87198417905777
2015,3,46.575546979904175
2015,4,42.270703196525574
2016,1,33.670409812301884
2016,2,45.580078184604645
2016,3,44.95070323348045
2016,4,49.3027051394103
2017,1,51.83540328856437
2017,2,48.180238269624255
2017,3,48.175476225595624
2017,4,55.239523902771964
2018,1,62.85696714432513
2018,2,67.83023408055305
2018,3,69.42063510228716
2018,4,59.66158745780824
2019,1,54.793852258901126
2019,2,59.93857144552564
2019,3,56.56054684519768
2019,4,56.742539814540315
