Year,quarter,Price
2006,1,4.315713790322002
2006,2,3.6860032198997597
2006,3,3.4447050124764114
2006,4,4.330944095477946
2007,1,4.9654385635511264
2007,2,3.4888658685017226
2007,3,3.2384295042173403
2007,4,4.551724174729685
2008,1,4.8034579995841415
2008,2,6.909616304519116
2008,3,8.446190611760198
2008,4,5.466720916812957
2009,1,3.93069074483185
2009,2,4.875021804040886
2009,3,6.780106915463465
2009,4,7.117674461207903
2010,1,7.004883414519181
2010,2,6.595921422169762
2010,3,5.277857610108048
2010,4,7.06622448537801
2011,1,6.78525479004304
2011,2,5.5066951879877974
2011,3,4.413369940610994
2011,4,5.248420747846435
2012,1,5.508680257128932
2012,2,5.429346577225889
2012,3,5.936107636991297
2012,4,5.761601950767281
2013,1,5.942093097913271
2013,2,5.494083062651107
2013,3,6.874500924822301
2013,4,8.092326123194994
2014,1,11.231774696175835
2014,2,13.922658243179292
2014,3,13.915244861936781
2014,4,18.121083643654863
2015,1,20.537909680164006
2015,2,22.521841822975002
2015,3,22.942440680556274
2015,4,33.24914837752948
2016,1,37.25147009497674
2016,2,40.85185310440778
2016,3,43.689016944983756
2016,4,49.18758409416082
2017,1,49.373103581689115
2017,2,49.05372447075158
2017,3,40.93469063799801
2017,4,37.158106273345076
2018,1,36.18640919262349
2018,2,37.47775757375071
2018,3,38.664135330360374
2018,4,33.163190858233826
2019,1,28.47224737574196
2019,2,26.716651925219427
2019,3,25.98459117576486
2019,4,29.063762194120883
