Ticker,CIK_Str,Alpha Code
DAL,0000027904,DL
CPA,0001345105,CM
VLRS,0001520504,Y4
LTMAY,0001047716,4M
LTMAY,0001047716,JJ
LTMAY,0001047716,UC
LTMAY,0001047716,LA
LTMAY,0001047716,4C
LTMAY,0001047716,LU
LTMAY,0001047716,PZ
LTMAY,0001047716,LP
JBLU,0001158463,B6
HA,0001172222,HA
ALGT,0001362468,G4
ALK,0000766421,AS
ULCC,0001670076,F9
MESA,0000810332,YV
AFLYY,0001110452,AF
SNCY,0001743907,SY
LUV,0000092380,WN
AZUL,0001432364,AD
GOL,0001291733,G3
RYAAY,0001038683,FR
RYAAY,0001038683,RK
UAL,0000100517,UA
SAVE,0001498710,NK
SKYW,0000793733,OO
AAL,0000006201,AA
