,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-647668.393782,2528925.619835,7714859.437751
Tax Rate For Calcs,0.129534,0.280992,0.068273
Normalized EBITDA,1454000000.0,144000000.0,392000000.0
Total Unusual Items,-5000000.0,9000000.0,113000000.0
Total Unusual Items Excluding Goodwill,-5000000.0,9000000.0,113000000.0
Net Income From Continuing Operation Net Minority Interest,1008000000.0,-87000000.0,232000000.0
Reconciled Cost Of Revenue,5903000000.0,5348000000.0,4007000000.0
EBITDA,1449000000.0,153000000.0,505000000.0
EBIT,1449000000.0,153000000.0,505000000.0
Net Interest Income,-166000000.0,-181000000.0,-246000000.0
Interest Expense,291000000.0,274000000.0,256000000.0
Interest Income,99000000.0,68000000.0,40000000.0
Normalized Income,1012352331.606218,-93471074.380165,126714859.437751
Net Income From Continuing And Discontinued Operation,1008000000.0,-87000000.0,232000000.0
Total Expenses,6467000000.0,5877000000.0,5976000000.0
Rent Expense Supplemental,620000000.0,484000000.0,499000000.0
Total Operating Income As Reported,1251000000.0,9000000.0,486000000.0
Diluted Average Shares,2460033688.0,2416666667.0,2477211632.0
Basic Average Shares,2460033688.0,2416666667.0,2477211632.0
Diluted EPS,0.40975,-0.036,0.093654
Basic EPS,0.40975,-0.036,0.093654
Diluted NI Availto Com Stockholders,1008000000.0,-87000000.0,232000000.0
Net Income Common Stockholders,1008000000.0,-87000000.0,232000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,1008000000.0,-87000000.0,232000000.0
Net Income Including Noncontrolling Interests,1008000000.0,-87000000.0,232000000.0
Net Income Continuous Operations,1008000000.0,-87000000.0,232000000.0
Tax Provision,150000000.0,-34000000.0,17000000.0
Pretax Income,1158000000.0,-121000000.0,249000000.0
Other Non Operating Income Expenses,-4000000.0,-8000000.0,
Special Income Charges,7000000.0,10000000.0,
Other Special Charges,-7000000.0,-10000000.0,
Net Non Operating Interest Income Expense,-166000000.0,-181000000.0,-246000000.0
Total Other Finance Cost,-26000000.0,-25000000.0,30000000.0
Interest Expense Non Operating,291000000.0,274000000.0,256000000.0
Interest Income Non Operating,99000000.0,68000000.0,40000000.0
Operating Income,1227000000.0,12000000.0,410000000.0
Operating Expense,564000000.0,529000000.0,1969000000.0
Other Operating Expenses,266000000.0,249000000.0,280000000.0
Selling General And Administration,298000000.0,280000000.0,249000000.0
Selling And Marketing Expense,298000000.0,280000000.0,249000000.0
Gross Profit,1791000000.0,541000000.0,2379000000.0
Cost Of Revenue,5903000000.0,5348000000.0,4007000000.0
Total Revenue,7694000000.0,5889000000.0,6386000000.0
Operating Revenue,7694000000.0,5889000000.0,6386000000.0
